   "MANDT";"WERKS";"LGORT";"LIFNR";"PARCERIA";"EBELN"
   "400";"0050";"F1EH";"0010015211";"";"4600217052"
   "400";"0151";"F1CN";"0010029119";"";"4600165781"
   "400";"0153";"F1CK";"0010029119";"";"4600165781"
   "400";"0153";"F1CL";"0010029119";"";"4600165781"
   "400";"0153";"F1CM";"0010029119";"";"4600165781"
   "400";"0154";"F1CV";"0010029125";"";"4600165783"
   "400";"0155";"F1CT";"0010021298";"";"4600165782"
   "400";"0156";"F1CR";"0010029127";"";"4600165787"
   "400";"0157";"F1CU";"0010021298";"";"4600165782"
   "400";"0158";"F1CQ";"0010029119";"";"4600165781"
   "400";"0159";"F1CI";"0010029130";"";"4600165780"
   "400";"0159";"F1CJ";"0010029144";"";"4600165788"
   "400";"0160";"F1CS";"0010029124";"";"4600165784"
   "400";"0161";"F1CP";"0010029119";"";"4600165781"
   "400";"0162";"F1CY";"0010029196";"";"4600165786"
   "400";"0163";"F1CX";"0010029122";"";"4600165789"
   "400";"0287";"F1JL";"0010004544";"";"4600242778"
   "400";"0801";"F003";"0010006747";"";"4600566275"
   "400";"0801";"F00A";"0010006747";"";"4600566276"
   "400";"0801";"F0HA";"0010078119";"P";"4600580515"
   "400";"0801";"F1AA";"0010025135";"";"4600588838"
   "400";"0801";"F1NT";"0010151738";"";"4600584035"
   "400";"0801";"F1WS";"0010104985";"";"4600307078"
   "400";"0801";"F214";"0010151738";"";"4600390897"
   "400";"0801";"F2MC";"0010151738";"";"4600584035"
   "400";"0801";"F40H";"0010025068";"";"4600556448"
   "400";"0801";"FAVF";"0010032536";"";"4600552673"
   "400";"0801";"FCXT";"0010050757";"";"4600566277"
   "400";"0801";"FMSS";"0010010526";"";"4600602636"
   "400";"0801";"FVSQ";"0010004966";"";"4600520012"
   "400";"0801";"FVWB";"0010147377";"";"4600566277"
   "400";"0801";"FWWW";"0010032536";"";"4600602636"
   "400";"0802";"F004";"0010006747";"";"4600566275"
   "400";"0802";"F00E";"0010006747";"";"4600566276"
   "400";"0802";"F0HB";"0010078119";"P";"4600580515"
   "400";"0802";"F1AA";"0010164515";"";"4600588838"
   "400";"0802";"F1NT";"0010151738";"";"4600584035"
   "400";"0802";"F1WS";"0010104985";"";"4600307078"
   "400";"0802";"F214";"0010151738";"";"4600390897"
   "400";"0802";"F2MC";"0010151738";"";"4600584035"
   "400";"0802";"F40I";"0010025068";"";"4600556448"
   "400";"0802";"FAVF";"0010032536";"";"4600552673"
   "400";"0802";"FDXT";"0010050757";"";"4600566277"
   "400";"0802";"FMSS";"0010010526";"";"4600602636"
   "400";"0802";"FVSR";"0010004966";"";"4600520012"
   "400";"0802";"FVWA";"0010164515";"";"4600564080"
   "400";"0802";"FVWC";"0010147377";"";"4600566277"
   "400";"0802";"FWWW";"0010032536";"";"4600602636"
   "400";"0803";"F005";"0010006747";"";"4600566275"
   "400";"0803";"F00G";"0010006747";"";"4600566276"
   "400";"0803";"F0HC";"0010078119";"P";"4600580515"
   "400";"0803";"F10A";"0010026003";"";"4600430369"
   "400";"0803";"F1AA";"0010025135";"";"4600588838"
   "400";"0803";"F1EO";"0010025658";"";"4600537300"
   "400";"0803";"F1NT";"0010151738";"";"4600584035"
   "400";"0803";"F1OI";"0010067168";"";"4600654520"
   "400";"0803";"F1WS";"0010104985";"";"4600307078"
   "400";"0803";"F20B";"0010001140";"";"4600522479"
   "400";"0803";"F214";"0010151738";"";"4600390897"
   "400";"0803";"F2AY";"0010001140";"";"4600522476"
   "400";"0803";"F2AZ";"0010031817";"";"4600515584"
   "400";"0803";"F2CU";"0010006747";"";"4600524391"
   "400";"0803";"F2CV";"0010001140";"";"4600522476"
   "400";"0803";"F2D2";"0010001140";"";"4600522479"
   "400";"0803";"F2MC";"0010151738";"";"4600584035"
   "400";"0803";"F40G";"0010025068";"";"4600556448"
   "400";"0803";"FAKE";"0010031817";"";"4600648629"
   "400";"0803";"FAKF";"0010031817";"";"4600648319"
   "400";"0803";"FAVF";"0010032536";"";"4600552673"
   "400";"0803";"FBHH";"0010014003";"";"4600664611"
   "400";"0803";"FC1J";"0010026003";"";"4600579412"
   "400";"0803";"FEQB";"0010032536";"";"4600565853"
   "400";"0803";"FEXT";"0010050757";"";"4600566277"
   "400";"0803";"FHGE";"0010014003";"";"4600664611"
   "400";"0803";"FJBA";"0010025658";"";"4600537301"
   "400";"0803";"FMAR";"0010210305";"";"4600579928"
   "400";"0803";"FMSS";"0010010526";"";"4600602636"
   "400";"0803";"FOIL";"0010067168";"";"4600639837"
   "400";"0803";"FOSS";"0010001140";"";"4600658580"
   "400";"0803";"FV10";"0010006747";"";"4600524392"
   "400";"0803";"FV11";"0010031817";"";"4600515585"
   "400";"0803";"FV81";"0010023933";"";"4600494285"
   "400";"0803";"FV83";"0010031817";"";"4600515585"
   "400";"0803";"FV84";"0010031817";"";"4600515586"
   "400";"0803";"FVA2";"0010014003";"";"4600537301"
   "400";"0803";"FVA3";"0010014003";"";"4600537300"
   "400";"0803";"FVA4";"0010031817";"";"4600515586"
